,Month_year,Country,Balance,Combustible_Renewables,Hydro,Other_Renewables,Solar,Total_Renewables__Hydro__Geo__Solar__Wind__Other_,Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,total_sol_wind_hyd
1018,2020-08-01,United Kingdom,Net Electricity Production,2844.229,406.052,0.9398,1375.9245,9191.7026,4564.5572,0.0658406669754516,0.024442483083259782,0.49821185790675954,0.026974564926372156,0.056521285475792986,0.614615227597469,0.8097125867195242,0.7252643504531722,0.19102948525737132,6346.5337
1019,2020-08-01,United States,Net Electricity Production,5018.3854,26938.7086,0.0,9337.6814,65165.1302,22507.6148,0.5145900880037054,0.40247131509267436,0.7337408433353837,0.0005380410531012941,0.0019240400667779633,0.7930189834660136,0.4217046580773043,0.8449773413897281,0.1103823088455772,58784.004799999995
1020,2021-08-01,Argentina,Net Electricity Production,220.4112,1292.0849,0.0,164.1248,2870.0194,1193.3985,0.03640574339972209,0.01998823183289203,0.4994938118181795,0.15272199910754128,0.19741235392320533,0.517248418044499,0.32556987115956393,0.6242447129909365,0.040654672663668165,2649.6082
1021,2021-08-01,Australia,Net Electricity Production,260.1933,1447.433,0.0,2471.103,6722.0666,2543.3373,0.016245947197776747,0.0065107384524860255,0.5967111539170953,0.11925479696564036,0.16631886477462438,0.5313329250867525,0.19953749587049885,0.756797583081571,0.019527736131934034,6461.8733
1022,2021-08-01,Austria,Net Electricity Production,332.5344,4849.051,0.0,281.7351,5826.6183,363.2952,0.07667901806391848,0.026384230656075317,0.547772396427555,0.046039714413208394,0.07755634390651085,0.6044090630740969,0.7424843078956064,0.7129909365558913,0.3188405797101449,5494.081300000001
1023,2021-08-01,Belgium,Net Electricity Production,399.1706,131.8994,0.0,616.7304,2001.7966,853.9962,0.012702640111162575,0.0,0.5156342458630696,0.009676483712628291,0.0459202838063439,0.6062461726883039,0.7994714238519985,0.7407477341389728,0.18615692153923036,1602.626
1024,2021-08-01,Brazil,Net Electricity Production,6963.7045,23607.8547,0.0,1398.0924,40176.9206,8207.2691,0.3114867994441871,0.2057075610473669,0.6615850325203999,0.008713743864346275,0.01856218697829716,0.7150438865074507,0.46630327056491583,0.9025679758308157,0.07466266866566716,33213.216199999995
1025,2021-08-01,Bulgaria,Net Electricity Production,198.719,240.7803,0.0,182.971,687.6848,65.2145,0.3853635942566003,0.24889673433362752,0.7607119517998683,5.0803212851405624e-05,0.0014357262103505842,0.7413757909777507,0.386025768087215,0.8731117824773413,0.07201399300349824,488.9658
1026,2021-08-01,Canada,Net Electricity Production,897.5664,28331.6363,0.0,661.1574,31784.2227,1893.8625,0.2217924965261695,0.11618122977346279,0.4852738048241862,0.013464970995091478,0.02722245409015025,0.6776893243519087,0.7115956392467789,0.6580438066465256,0.13905547226386805,30886.656199999998
1027,2021-08-01,Chile,Net Electricity Production,421.2141,1338.9582,0.0,780.3726,3273.4896,700.7774,0.00012804539138490043,5.3250956163577524e-08,0.41600656333695274,0.26885319053993756,0.31573455759599334,0.43233312921004297,0.5297324083250742,0.5443164652567976,0.27648675662168914,2820.1082
